"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Albin 79","Monohull","Cruiser-racer sailboat","Albin Marine","Rolf Magnusson","Sweden","Hull and deck: GRP (glass reinforced polyester)","1974","1977","Keel : fin without bulb","Single tiller","Single rudder on skeg","No","No","","N/A €","25’ 11”7.9 m","8’ 8”2.66 m","4’ 7”1.4 m","4079 lb1850 kg","379 ft²35.2 m²","637 ft²59.2 m²","121 ft²11.2 m²","258 ft²24 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","251 ft²/T23.36 m²/T","423 ft²/T39.28 m²/T","1 inboard engine","8 HP","","Closed aft cockpit","","4  / 6","1","","20’6.1 m","1543 lb700 kg","Cast iron","517 ft²48 m²","","","26’ 7”8.1 m","7’ 11”2.4 m","9.0","231","38 %","5.99 knots","","","","","","","1","","","","","","1x19 strand wire continuous","","","","","","","","","Quarter Ton class","About 250","138 ft²12.8 m²","194 ft²18 m²","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin 82 MS","Monohull","Motorsailer","Albin Marine","Per Brohäll","Sweden","Hull and deck: GRP (glass reinforced polyester)","1975","Discontinued","Keel : fin without bulb","Single helm wheel","Single rudder on skeg","No","No","","N/A €","26’ 11”8.2 m","9’ 4”2.84 m","3’ 11”1.2 m","7496 lb3400 kg","454 ft²42.2 m²","797 ft²74 m²","183 ft²17 m²","271 ft²25.2 m²","","Sloop Marconi fractional","Deck stepped mast","No","1","0 °","Aluminum spars","201 ft²/T18.66 m²/T","352 ft²/T32.73 m²/T","1 inboard engine","35 HP","Diesel","Center cockpit","","","","","25’7.62 m","1984 lb900 kg","","614 ft²57 m²","","","","","","218","26 %","6.70 knots","33 gal125 liters","6","17.2 gal65 liters","","","","1","","","","","","1x19 strand wire continuous","","","","","","","","","","","140 ft²13 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Accent","Monohull","Cruiser-racer sailboat","Albin Marine & Shipman Sweden AB","Peter Norlin","Sweden","Hull and deck: GRP (glass reinforced polyester)","1975","1980","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","26’ 5”8.05 m","9’ 1”2.77 m","5’ 1”1.54 m","5071 lb2300 kg","308 ft²28.6 m²","","129 ft²12 m²","179 ft²16.6 m²","","Sloop Marconi 3/4","Deck stepped mast","No","1","0 °","Aluminum spars","177 ft²/T16.41 m²/T","","1 inboard engine","8 HP","Diesel","Closed aft cockpit","","5  / 7","1","","20’ 6”6.25 m","1984 lb900 kg","","","","","","","","267","39 %","6.07 knots","","","","","","","1","","","","","","1x19 strand wire continuous","","","","","","","","","Quarter Ton class","760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Ballad","Monohull","Cruiser-racer sailboat","Albin Marine","Rolf Magnusson","Sweden","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich Divinicell fiberglass polyester","1971","1982","Keel : fin without bulb","Single tiller","Single rudder on skeg","No","No","","N/A €","30’9.14 m","9’ 8”2.96 m","5’ 1”1.55 m","7275 lb3300 kg","518 ft²48.1 m²","925 ft²85.9 m²","171 ft²15.9 m²","347 ft²32.2 m²","","Sloop Marconi masthead","Keel stepped mast","No","1","0 °","Aluminum spars","234 ft²/T21.7 m²/T","417 ft²/T38.75 m²/T","1 inboard engine","10 HP","Diesel","Closed aft cockpit","","4  / 6","1","","22’ 7”6.9 m","3417 lb1550 kg","","753 ft²70 m²","","","","","","284","47 %","6.38 knots","8.7 gal33 liters","","17.2 gal65 liters","","","","1","","","","","","1x19 strand wire continuous","","","","","","","","","Half Ton class","About 1500","199 ft²18.5 m²","271 ft²25.2 m²","21.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Cumulus","Monohull","Cruiser-racer sailboat","Albin Marine","Peter Norlin","Sweden","Hull and deck: GRP (glass reinforced polyester)","1978","1985","Keel : fin without bulb","Single tiller","Single transom hung rudder","No","No","","N/A €","28’ 1”8.56 m","9’ 4”2.83 m","5’ 2”1.6 m","7055 lb3200 kg","382 ft²35.5 m²","","188 ft²17.5 m²","194 ft²18 m²","","Sloop Marconi 7/8","Deck stepped mast","No","","No spreader","Aluminum spars","176 ft²/T16.35 m²/T","","1 inboard engine","12 HP","Diesel","Closed aft cockpit","","3  / 5","1","","22’ 4”6.8 m","2811 lb1275 kg","","","","","","","","288","40 %","6.33 knots","9 gal34 liters","","","","","","1","","","","","","1x19 strand wire","","","","","","","","","","567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Express","Monohull","Cruiser-racer sailboat","Albin Marine","Peter Norlin","Sweden","Hull and deck: GRP (glass reinforced polyester)","1978","1985","Keel : fin without bulb","Single tiller","Single transom hung rudder","No","Yes","","N/A €","25’ 6”7.77 m","8’ 2”2.49 m","4’ 10”1.45 m","3968 lb1800 kg","344 ft²32 m²","673 ft²62.5 m²","188 ft²17.5 m²","","","Sloop Marconi 7/8","Deck stepped mast","No","1","Swept-back","Aluminum spars","233 ft²/T21.63 m²/T","455 ft²/T42.24 m²/T","1 outboard engine","","","Closed aft cockpit","","3  / 4","","","21’ 8”6.6 m","1764 lb800 kg","","484 ft²45 m²","29’ 2”8.9 m","10’3.05 m","31’ 2”9.5 m","11’3.35 m","","177","44 %","6.24 knots","","","","","","","1","","","","","39’ 5”12 m","1x19 strand wire continuous","","","","","","","","","","About 1400","111 ft²10.3 m²","156 ft²14.5 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Nimbus 42","Monohull","Offshore cruiser-racer sailboat","Albin Marine","Kaufman & Ladd","Sweden","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich Airex fiberglass polyester","1981","1985","Keel : fin without bulb","Single helm wheel","Single rudder on skeg","No","No","","N/A €","41’ 4”12.6 m","12’ 6”3.8 m","5’ 11”1.8 m","21499 lb9752 kg","871 ft²80.9 m²","","385 ft²35.8 m²","485 ft²45.1 m²","","Cutter Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","191 ft²/T17.72 m²/T","","1 inboard engine","50 HP","Diesel","Closed aft cockpit","","5  / 8","2","Standard","34’ 1”10.4 m","10000 lb4536 kg","","","54’16.46 m","18’5.49 m","49’14.94 m","15’4.57 m","","245","47 %","7.83 knots","60 gal227 liters","","120.2 gal455 liters","6’ 4”1.93 m","","","2","","","","","58’ 1”17.7 m","1x19 strand wire","","","","","","","","","","","","","","10’ 10”3.3 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Nimbus 42","Monohull","Offshore cruiser-racer sailboat","Albin Marine","Kaufman & Ladd","Sweden","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich Airex fiberglass polyester","1981","1985","Centerboard : pivoting centerboard in the keel","Single helm wheel","Single rudder on skeg","No","No","","N/A €","41’ 4”12.6 m","12’ 6”3.8 m","4’ 11”1.5 m","21499 lb9752 kg","871 ft²80.9 m²","","385 ft²35.8 m²","485 ft²45.1 m²","","Cutter Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","191 ft²/T17.72 m²/T","","1 inboard engine","50 HP","Diesel","Closed aft cockpit","","5  / 8","2","Keel and centerboard","34’ 1”10.4 m","10000 lb4536 kg","","","54’16.46 m","18’5.49 m","49’14.94 m","15’4.57 m","","245","47 %","7.83 knots","60 gal227 liters","","120.2 gal455 liters","6’ 4”1.93 m","","","2","","","","","58’ 1”17.7 m","1x19 strand wire","","","","","","","","","","","","","","10’ 10”3.3 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Nimbus 42","Monohull","Offshore cruiser-racer sailboat","Albin Marine","Kaufman & Ladd","Sweden","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich Airex fiberglass polyester","1981","1985","Keel : fin without bulb","Single helm wheel","Single rudder on skeg","No","No","","N/A €","41’ 4”12.6 m","12’ 6”3.8 m","7’ 2”2.2 m","21499 lb9752 kg","871 ft²80.9 m²","","385 ft²35.8 m²","485 ft²45.1 m²","","Cutter Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","191 ft²/T17.72 m²/T","","1 inboard engine","50 HP","Diesel","Closed aft cockpit","","5  / 8","2","Race","34’ 1”10.4 m","10000 lb4536 kg","","","54’16.46 m","18’5.49 m","49’14.94 m","15’4.57 m","","245","47 %","7.83 knots","60 gal227 liters","","120.2 gal455 liters","6’ 4”1.93 m","","","2","","","","","58’ 1”17.7 m","1x19 strand wire","","","","","","","","","","","","","","10’ 10”3.3 m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Nova 33","Monohull","Cruising sailboat","Albin Marine","Peter Norlin","Sweden","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","1981","1997","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","32’ 5”9.87 m","10’ 4”3.15 m","5’ 6”1.69 m","8157 lb3700 kg","506 ft²47 m²","","","","","Sloop Marconi 7/8","Keel stepped mast","No","1","Swept-back","Aluminum spars","212 ft²/T19.65 m²/T","","1 inboard engine","15 HP","Diesel","Closed aft cockpit","","4  / 6","1","","26’ 2”8 m","3858 lb1750 kg","Cast iron","","","","","","","205","47 %","6.87 knots","11.9 gal45 liters","","23.8 gal90 liters","","","","2","","","","","","1x19 strand wire continuous","","","","","","","","","","About 500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Scampi","Monohull","Cruiser-racer sailboat","Albin Marine & Shipman Sweden AB","Peter Norlin","Sweden","Hull and deck: GRP (glass reinforced polyester)","1979","Discontinued","Keel : fin without bulb","Single tiller","Single rudder on skeg","No","No","","N/A €","29’ 10”9.07 m","10’3.04 m","5’ 5”1.65 m","7275 lb3300 kg","467 ft²43.4 m²","","194 ft²18 m²","273 ft²25.4 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","211 ft²/T19.58 m²/T","","1 inboard engine","12 HP","","Closed aft cockpit","","4  / 6","1","","23’7 m","2778 lb1260 kg","","","37’ 1”11.3 m","11’ 10”3.6 m","31’ 10”9.7 m","9’ 10”3 m","","272","38 %","6.42 knots","","","","","","","1","","","","","","1x19 strand wire continuous","","","","","","","","","Half Ton class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Albin Singoalla","Monohull","Cruising sailboat","Albin Marine","Per Brohäll","Sweden","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich Divinicell fiberglass polyester","1970","Discontinued","Keel : fin without bulb","Single helm wheel","Single rudder on skeg","No","No","","N/A €","33’ 8”10.26 m","10’ 10”3.3 m","5’ 1”1.56 m","10031 lb4550 kg","674 ft²62.6 m²","1220 ft²113.3 m²","251 ft²23.3 m²","423 ft²39.3 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","245 ft²/T22.8 m²/T","444 ft²/T41.26 m²/T","1 inboard engine","22 HP","Diesel","Closed aft cockpit","","4  / 6","1","","27’ 4”8.32 m","3858 lb1750 kg","","969 ft²90 m²","","","","","","224","38 %","7.00 knots","19.8 gal75 liters","","42.3 gal160 liters","","","","1","","","","","","1x19 strand wire continuous","","","","","","","","","","","182 ft²16.9 m²","290 ft²26.9 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
